행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),,,,,,,,,,,
1101060,종로구,가회동,02,20,129 ,48 ,2 ,2 ,2 ,2 ,0 ,4 ,2 ,0 ,5 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,02,25,175 ,69 ,17 ,5 ,8 ,8 ,0 ,6 ,8 ,3 ,11 ,7 ,,,,,,,,,,,
1101060,종로구,가회동,02,30,192 ,70 ,8 ,7 ,6 ,4 ,0 ,9 ,8 ,11 ,9 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,02,35,185 ,64 ,4 ,12 ,7 ,9 ,5 ,6 ,7 ,0 ,7 ,5 ,,,,,,,,,,,
1101060,종로구,가회동,02,40,231 ,59 ,6 ,11 ,7 ,12 ,11 ,3 ,7 ,6 ,7 ,7 ,,,,,,,,,,,
1101060,종로구,가회동,02,45,211 ,47 ,2 ,8 ,2 ,7 ,0 ,3 ,5 ,4 ,1 ,9 ,,,,,,,,,,,
1101060,종로구,가회동,02,50,192 ,38 ,5 ,6 ,3 ,3 ,8 ,1 ,5 ,3 ,5 ,8 ,,,,,,,,,,,
1101060,종로구,가회동,02,55,182 ,38 ,5 ,4 ,4 ,8 ,9 ,1 ,7 ,4 ,3 ,5 ,,,,,,,,,,,
1101060,종로구,가회동,02,60,177 ,36 ,4 ,8 ,3 ,9 ,15 ,1 ,8 ,4 ,1 ,15 ,,,,,,,,,,,
1101060,종로구,가회동,02,65,144 ,45 ,3 ,9 ,3 ,7 ,0 ,0 ,5 ,4 ,1 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,02,70,115 ,34 ,4 ,3 ,1 ,8 ,3 ,0 ,3 ,3 ,3 ,0 ,,,,,,,,,,,
1101060,종로구,가회동,02,75,197 ,71 ,2 ,3 ,3 ,4 ,0 ,0 ,2 ,2 ,0 ,6 ,,,,,,,,,,,
