행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체)
1101057,종로구,무악동,02,40,443 ,27 ,3 ,3 ,2 ,2 ,9 ,7 ,2 ,3 ,2 ,2 
1101057,종로구,무악동,02,45,359 ,24 ,1 ,2 ,1 ,2 ,6 ,6 ,2 ,2 ,1 ,1 
1101057,종로구,무악동,02,50,369 ,36 ,2 ,5 ,1 ,2 ,0 ,3 ,2 ,2 ,4 ,5 
1101057,종로구,무악동,02,55,338 ,31 ,1 ,4 ,2 ,0 ,0 ,2 ,1 ,3 ,3 ,3 
1101057,종로구,무악동,02,60,224 ,20 ,0 ,2 ,2 ,2 ,0 ,1 ,2 ,2 ,0 ,1 
1101057,종로구,무악동,02,65,216 ,48 ,3 ,7 ,4 ,2 ,0 ,0 ,2 ,7 ,3 ,3 
1101057,종로구,무악동,02,70,165 ,57 ,4 ,6 ,1 ,6 ,0 ,0 ,6 ,8 ,3 ,4 
1101057,종로구,무악동,02,75,297 ,85 ,8 ,13 ,6 ,3 ,8 ,0 ,7 ,13 ,5 ,6 
1101058,종로구,교남동,01,20,159 ,22 ,3 ,3 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 
1101058,종로구,교남동,01,25,193 ,44 ,9 ,6 ,2 ,7 ,11 ,4 ,9 ,5 ,3 ,3 
1101058,종로구,교남동,01,30,214 ,54 ,8 ,5 ,5 ,4 ,4 ,7 ,6 ,6 ,3 ,3 
1101058,종로구,교남동,01,35,206 ,46 ,5 ,3 ,2 ,3 ,0 ,8 ,3 ,3 ,5 ,5 
1101058,종로구,교남동,01,40,276 ,63 ,9 ,4 ,9 ,4 ,7 ,6 ,5 ,4 ,7 ,7 
1101058,종로구,교남동,01,45,228 ,51 ,6 ,3 ,4 ,3 ,5 ,4 ,4 ,3 ,3 ,3 
1101058,종로구,교남동,01,50,247 ,45 ,6 ,3 ,2 ,2 ,4 ,2 ,4 ,4 ,7 ,7 
1101058,종로구,교남동,01,55,202 ,40 ,5 ,2 ,3 ,2 ,2 ,2 ,3 ,4 ,5 ,5 
1101058,종로구,교남동,01,60,175 ,37 ,4 ,3 ,3 ,2 ,4 ,1 ,3 ,3 ,3 ,3 
1101058,종로구,교남동,01,65,142 ,52 ,4 ,4 ,5 ,3 ,1 ,0 ,5 ,2 ,6 ,6 
1101058,종로구,교남동,01,70,78 ,26 ,3 ,4 ,0 ,2 ,2 ,0 ,2 ,1 ,1 ,1 
1101058,종로구,교남동,01,75,127 ,43 ,4 ,3 ,5 ,2 ,2 ,0 ,4 ,2 ,4 ,5 
1101058,종로구,교남동,02,20,169 ,39 ,3 ,4 ,5 ,2 ,0 ,3 ,3 ,2 ,3 ,3 
1101058,종로구,교남동,02,25,177 ,48 ,4 ,4 ,5 ,3 ,2 ,6 ,5 ,3 ,3 ,3 
1101058,종로구,교남동,02,30,205 ,54 ,4 ,6 ,4 ,5 ,4 ,7 ,5 ,3 ,4 ,4 
1101058,종로구,교남동,02,35,209 ,64 ,3 ,3 ,3 ,2 ,0 ,7 ,2 ,5 ,3 ,3 
1101058,종로구,교남동,02,40,267 ,61 ,2 ,6 ,4 ,3 ,0 ,4 ,3 ,5 ,5 ,5 
1101058,종로구,교남동,02,45,220 ,49 ,4 ,6 ,2 ,7 ,3 ,3 ,5 ,4 ,1 ,1 
1101058,종로구,교남동,02,50,264 ,61 ,6 ,5 ,4 ,5 ,6 ,1 ,7 ,3 ,6 ,7 
